"","mean_RT","Fly_001","Fly_002","Fly_004","Fly_005","Fly_006","Fly_016","Fly_017","Fly_018","Fly_019","Fly_020"
"P118",29.5294285714286,0,29.524,29.545,29.531,0,29.531,0,29.538,29.524,29.538
"P119",29.6797,29.683,29.683,29.683,29.69,29.69,29.683,29.676,29.683,29.683,29.683
"P120",29.8305555555556,29.835,29.841,29.835,29.842,29.828,29.841,29.828,29.835,0,29.835
"P121",29.964,0,29.972,0,29.966,0,0,0,0,0,0
"P122",30.0581666666667,30.048,0,0,30.062,30.062,0,30.069,30.062,0,30.076
"P123",30.1691,30.172,30.2,30.172,30.166,30.166,30.186,30.172,30.173,30.145,30.179
"P124",30.4405714285714,30.441,0,0,30.441,30.448,0,30.441,30.455,30.442,30.441
"P125",30.5833333333333,30.572,30.586,0,30.586,0,30.6,30.586,0,0,30.6
"P126",30.6933,30.696,30.703,30.69,30.697,30.697,30.703,30.696,30.697,30.697,30.697
"P127",30.8348,0,0,30.841,30.841,30.841,0,0,30.841,0,30.835
"P128",31.0674444444444,31.076,0,31.076,31.069,31.062,31.083,31.069,31.076,31.069,31.062
"P129",31.1701,31.172,31.172,31.172,31.179,31.172,31.172,31.179,31.172,31.172,31.179
"P130",31.3233333333333,0,0,31.379,0,0,0,0,31.296,0,31.31
"P131",31.6023,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.607,31.6,31.607
"P132",31.7136666666667,0,31.717,31.724,0,0,31.717,31.71,31.724,31.71,0
"P133",31.9757,31.979,31.986,31.986,31.986,31.972,31.979,31.979,31.972,31.979,31.979
"P134",32.2272,32.227,32.22,32.22,32.234,32.241,32.22,32.227,32.22,32.227,32.276
"P135",32.3162222222222,32.324,32.317,32.317,32.324,0,32.317,32.317,32.317,32.317,32.331
"P136",32.4123,32.407,32.413,32.407,32.427,32.407,32.42,32.42,32.414,32.407,32.441
"P137",32.5179,32.517,32.517,32.517,32.531,32.517,32.524,32.524,32.524,32.517,32.531
"P138",32.6557777777778,0,32.662,32.655,32.662,32.662,32.662,32.662,32.648,32.662,32.662
"P139",32.9358888888889,32.91,32.965,32.903,32.958,32.903,32.972,32.979,32.944,32.924,0
"P140",33.034,33.02,0,33.027,33.048,33.02,33.055,33.055,33.041,33.027,33.048
"P141",33.098,0,0,0,0,0,0,0,0,0,33.103
"P142",33.3088,33.303,33.317,33.303,33.317,33.303,33.317,33.317,33.31,33.303,33.338
"P143",33.4363,33.441,33.448,33.434,33.441,33.434,33.441,33.441,33.434,33.441,33.448
"P144",33.659,0,33.703,0,33.703,0,0,33.558,0,33.682,0
"P145",33.8552,0,33.861,33.848,33.855,33.862,0,33.875,0,0,0
"P146",34.0321,34.034,34.034,34.034,34.034,34.034,34.041,34.034,34.034,34.027,34.055
"P147",34.1425,0,0,34.144,0,34.151,0,0,0,0,0
"P148",34.2724,0,0,34.399,0,34.234,0,34.248,0,34.248,34.248
"P149",34.4628,34.468,34.468,34.461,34.468,34.462,34.468,34.468,34.468,34.455,34.482
"P150",34.6333333333333,34.606,0,34.661,0,0,0,34.648,0,0,0
"P151",34.77875,34.785,0,0,0,34.779,0,0,34.779,0,34.792
"P152",34.9212,34.923,34.923,34.93,34.93,34.93,34.93,34.923,34.923,34.917,34.923
"P153",35.0616,35.027,0,35.054,0,0,35.061,35.137,35.054,0,0
"P154",35.2195,35.22,35.22,35.241,35.22,35.241,35.22,35.213,35.227,35.213,35.22
"P155",35.4045,0,0,0,0,0,0,35.468,35.351,0,0
"P156",35.5574285714286,0,35.551,0,35.565,0,35.565,35.565,35.558,35.551,35.572
"P157",35.6345,35.634,35.627,35.62,35.647,35.613,35.661,35.654,35.641,35.62,35.668
"P158",35.7323333333333,35.737,35.73,35.73,35.737,35.723,35.744,35.744,0,35.723,35.758
"P159",35.877,0,35.875,0,35.882,0,0,0,0,0,35.889
"P160",36.1308888888889,36.13,36.137,36.089,36.172,36.089,36.185,36.164,36.151,36.096,0
"P161",36.245,0,36.247,36.234,36.268,36.227,36.275,36.261,36.254,36.227,36.247
"P162",36.3625714285714,36.358,0,36.365,36.385,36.372,36.392,0,36.385,0,36.316
"P163",36.5114,36.509,36.509,36.502,36.523,36.509,36.523,36.516,36.516,36.496,36.551
"P164",36.7908,36.792,36.82,36.785,36.792,36.778,36.799,36.792,36.792,36.785,36.813
"P165",36.9596666666667,0,36.958,36.958,36.964,36.971,36.964,36.964,36.964,36.951,36.978
"P166",37.122,37.123,37.123,0,37.13,0,0,37.123,0,37.116,37.137
"P167",37.2089,37.213,37.213,37.213,37.213,37.22,37.213,37.206,37.22,37.185,37.233
"P168",37.353,0,0,0,0,0,0,0,0,0,37.358
"P169",37.5099,37.516,37.516,37.509,37.523,37.509,37.516,37.509,37.516,37.502,37.523
"P170",37.704,0,0,0,0,0,0,37.709,0,0,0
"P171",37.8756,0,0,37.875,37.882,37.882,37.882,0,37.882,0,0
"P172",37.9901,37.992,37.992,37.992,37.999,37.992,37.992,37.999,37.992,37.992,37.999
"P173",38.0907142857143,0,0,38.095,38.095,38.089,38.095,0,38.095,38.089,38.102
"P174",38.17075,38.178,38.171,0,38.178,38.178,38.171,38.171,0,38.171,38.178
"P175",38.2686666666667,0,0,0,38.275,38.268,0,0,0,38.268,0
"P176",38.4184444444444,38.426,38.426,38.412,0,38.42,38.419,38.433,38.419,38.42,38.426
"P177",38.6017,38.612,38.606,38.592,38.626,38.592,38.606,38.612,38.606,38.592,38.613
"P178",38.7043,38.716,38.716,38.702,38.716,38.695,38.716,38.709,38.695,38.702,38.716
"P179",38.818,0,0,0,0,0,0,0,38.806,0,38.84
"P180",39.056,39.054,39.095,39.054,39.109,39.054,39.074,39.04,39.04,39.019,39.061
"P181",39.203375,0,0,39.199,39.226,39.206,39.212,39.198,39.205,39.192,39.219
"P182",39.4116,39.412,39.426,39.412,39.426,39.412,39.419,39.412,39.412,39.406,39.419
"P183",39.6478,39.619,39.667,39.654,39.661,39.64,39.654,39.654,39.661,39.647,39.661
"P184",39.8098888888889,0,39.833,39.833,39.764,39.757,39.819,39.826,39.833,39.826,39.833
"P185",39.9755,0,39.998,0,39.998,0,39.971,39.978,39.964,39.964,0
"P186",40.0633333333333,40.067,0,40.06,40.074,40.068,40.067,40.067,40.067,40.068,40.067
"P187",40.138,0,0,0,0,0,0,0,0,0,40.143
"P188",40.262,0,0,0,0,0,0,0,0,0,40.267
"P189",40.3335,40.336,40.343,40.336,40.343,40.336,40.343,40.336,40.336,40.33,40.336
"P190",40.626,40.647,0,40.529,0,0,40.674,40.674,0,0,0
"P191",40.7544,40.757,40.757,40.757,40.764,40.757,40.757,40.764,40.757,40.75,40.764
"P192",40.84425,0,0,0,0,0,40.847,40.846,0,40.847,40.847
"P193",40.9919,40.998,40.998,40.998,40.998,40.998,40.991,40.998,40.991,40.991,40.998
"P194",41.0944285714286,41.095,0,41.102,41.095,41.095,41.109,0,41.095,41.095,0
"P195",41.1947,41.191,41.198,41.184,41.233,41.198,41.184,41.246,41.184,41.178,41.191
"P196",41.3715,41.377,41.391,41.377,41.391,41.371,41.371,41.371,41.364,41.364,41.378
"P197",41.433,0,41.481,0,0,41.426,41.426,0,41.419,0,0
"P198",41.7266,41.702,41.736,41.729,41.75,41.722,41.757,41.722,41.729,41.716,41.743
"P199",41.9415,0,0,0,41.943,0,41.95,0,41.943,0,41.95
"P200",42.0854,42.095,42.088,42.088,42.095,42.088,42.088,42.088,42.088,42.088,42.088
"P201",42.338,0,42.343,0,0,0,0,0,0,0,0
"P202",42.4637,42.46,42.467,42.467,42.467,42.446,42.467,42.474,42.481,42.474,42.474
"P203",42.6908888888889,42.694,42.681,42.688,42.695,42.688,42.688,42.681,0,42.702,42.736
"P204",42.8539,42.853,42.853,42.86,42.86,42.86,42.86,42.853,42.86,42.86,42.86
"P205",42.9716,42.977,42.977,42.977,42.977,42.97,42.977,42.977,42.977,42.97,42.977
"P206",43.1685,0,0,43.17,0,0,0,43.177,0,0,0
"P207",43.3571111111111,0,43.343,43.37,43.37,43.357,43.356,43.356,43.37,43.364,43.363
"P208",43.5004285714286,0,43.494,0,43.522,0,43.501,43.501,43.508,43.501,43.501
"P209",43.6351666666667,43.632,43.639,43.639,43.646,43.639,43.646,0,0,0,0
"P210",43.7278,43.729,43.729,43.736,43.736,43.729,43.736,43.729,43.729,43.729,43.736
"P211",43.9402,43.922,43.937,43.943,43.956,43.943,43.956,43.943,43.95,43.929,43.963
"P212",44.0294,44.011,44.025,44.032,44.046,44.032,44.046,44.032,44.039,44.025,44.046
"P213",44.124,0,0,0,0,0,0,0,44.129,0,0
"P214",44.2587,44.239,44.253,44.274,44.274,44.253,44.28,44.267,44.26,44.253,44.274
"P215",44.517,0,0,0,0,0,0,0,0,0,44.522
"P216",44.6014,44.604,44.604,44.605,44.605,44.612,44.605,44.604,44.605,44.605,44.605
"P217",44.708,0,0,0,0,0,0,0,0,44.729,44.687
"P218",44.8685,0,0,0,44.874,0,44.873,0,0,0,0
"P219",44.928625,0,44.935,44.936,0,44.929,44.929,44.929,44.936,44.929,44.936
"P220",45,0,0,0,0,0,0,0,0,0,45.005
"P221",45.1875,45.163,45.184,45.198,45.204,45.191,45.204,45.191,45.184,45.191,45.205
"P222",45.33375,0,45.335,0,45.342,45.342,0,0,0,0,45.336
"P223",45.4036,45.404,45.397,45.411,45.411,45.411,45.411,45.404,45.411,45.405,45.411
"P224",45.619,45.577,45.632,45.632,45.625,45.625,45.632,45.632,45.625,45.618,45.632
"P225",45.8105,0,45.825,45.791,45.853,45.777,0,0,45.784,45.853,0
"P226",46.1197,46.115,46.122,46.122,46.122,46.122,46.128,46.128,46.128,46.115,46.135
"P227",46.3892,46.363,46.384,46.39,46.404,46.384,46.411,46.397,46.404,46.377,46.418
"P228",46.4652,46.466,0,46.466,0,46.473,0,0,46.473,0,46.473
"P229",46.6364,46.632,46.639,46.639,46.639,46.639,46.646,46.646,46.646,46.632,46.646
"P230",46.7903,46.79,46.79,46.797,46.797,46.797,46.797,46.79,46.797,46.784,46.804
"P231",47.0071111111111,0,47.004,47.011,47.011,47.011,47.018,47.011,47.011,47.004,47.018
"P232",47.132,47.135,0,0,0,47.142,47.135,0,0,47.121,47.142
"P233",47.2483333333333,0,47.211,47.259,47.259,47.246,47.266,47.252,47.266,47.259,47.252
"P234",47.4314444444444,0,47.459,47.459,47.452,47.452,47.459,47.376,47.452,47.363,47.446
"P235",47.6615,0,47.659,0,0,0,47.666,47.659,47.666,47.666,47.673
"P236",47.7865555555556,47.797,47.79,47.797,47.79,47.79,47.79,47.79,47.79,0,47.79
"P237",48.3721,48.369,48.369,48.376,48.376,48.383,48.383,48.376,48.383,48.37,48.376
"P238",48.5853333333333,0,48.59,48.59,48.597,48.583,48.59,48.583,48.59,48.583,48.597
"P239",48.8505555555556,0,48.873,48.838,48.852,48.825,48.845,48.845,48.88,48.873,48.859
"P240",49.209,49.231,0,0,0,0,0,0,0,0,49.197
"P241",49.8824285714286,0,0,49.886,49.88,49.887,49.88,49.886,49.9,0,49.893
"P242",50.0164444444444,0,50.024,50.031,50.017,50.024,50.011,50.024,50.017,50.011,50.024
"P243",50.7521666666667,50.797,0,0,0,0,50.797,50.741,50.728,50.728,50.742
"P244",51.4275,0,0,0,0,0,51.486,0,0,51.369,0
"P245",52.1518888888889,0,52.162,52.155,52.148,52.148,52.155,52.155,52.169,52.141,52.169
"P246",52.505,0,0,0,0,0,0,0,52.52,0,52.5
"P247",52.736,52.741,0,0,0,0,0,0,0,0,0
"P248",53.718,53.706,53.762,0,0,53.707,53.651,0,0,0,53.789
"P249",55.143,55.148,0,0,0,0,0,0,0,0,0
"P250",55.83,55.803,55.906,55.878,55.892,55.782,55.761,0,55.899,55.692,55.892
"P251",56.425,0,0,56.423,56.43,56.43,56.423,0,56.437,0,56.437
"P252",56.68,0,0,0,0,0,0,56.685,0,0,0
"P253",57.5835,57.644,57.533,0,0,0,0,0,0,0,0
